X_IMAGE,Y_IMAGE,FLUX_RADIUS,FLUX_ISO,FLUXERR_ISO,FLAGS,A_IMAGE,B_IMAGE,THETA_IMAGE,XPEAK_IMAGE,YPEAK_IMAGE,ALPHAPEAK_J2000,DELTAPEAK_J2000,FLUX_PEAK,FLUXERR_PEAK
4615.4253,4037.645,7.746,523.7370423025302,3.192241843387822,0,5.993,3.627,-43.19,4613,4036,266.8352599,-28.3959027,0.08589154481887817,0.0009845164604485035
4706.4814,4766.5703,5.711,129.21301866178442,1.7833190367625849,0,3.335,2.011,-57.24,4707,4765,266.8337756,-28.3857778,0.05157531797885895,0.0010986609850078821
4689.3135,4848.0439,5.551,818.6557815423671,3.0216436260813593,3,4.231,3.442,-12.83,4690,4849,266.834044,-28.3846111,0.19182004034519196,0.0029659054707735777
4702.5762,4862.7783,6.31,474.8845543460183,2.67338010173794,3,3.919,3.609,52.31,4703,4862,266.8338388,-28.3844305,0.12486107647418976,0.0021172889973968267
4678.1367,4856.8457,4.913,181.56373557588628,1.7833190367625849,3,2.534,2.376,-8.56,4678,4857,266.8342334,-28.3845,0.09685303270816803,0.0032375617884099483
4691.6143,4868.9434,5.53,153.0353037725693,1.7248339040535134,3,2.735,2.175,0.63,4692,4869,266.8340124,-28.3843333,0.07638061046600342,0.0021695056930184364
4757.0156,4884.5503,6.732,146.3656778840891,1.9482699064612745,0,3.393,2.345,-75.99,4756,4884,266.8330021,-28.384125,0.05185092240571976,0.0007002713391557336
4660.0337,4881.9663,3.528,142.16788129896196,1.5799708221117204,0,2.251,2.046,-62.79,4660,4882,266.8345176,-28.3841528,0.0824512168765068,0.002040644409134984
4792.855,5729.002,5.645,84.28350983996792,1.5023102884753694,0,2.664,1.789,-83.88,4793,5729,266.8324179,-28.3723889,0.04612083360552788,0.00022315837850328535
4761.645,5799.3755,3.394,131.10387641381757,1.5581769278299717,0,2.152,2.095,-18.25,4762,5799,266.8329073,-28.3714167,0.08090835064649582,0.0012805481674149632
4729.7646,6047.8218,7.875,71.67878630738053,1.5799708221117204,2,2.161,1.566,-67.87,4729,6049,266.8334281,-28.3679444,0.030964093282818794,0.0015360719989985228
2939.8032,6330.2222,4.117,111.74336896853576,1.6226803317644642,2,2.591,1.606,26.08,2940,6330,266.8616653,-28.3640385,0.04876003786921501,3.243587343604304e-06
2847.1145,6354.7129,5.416,189.29425985737117,1.9482699064612745,2,1.188,0.895,20.91,2846,6360,266.8631488,-28.3636215,0.06523843109607697,1.275051363336388e-05
3016.7764,6449.4438,3.42,197.81384952432967,2.211340731752502,2,2.873,1.226,67.76,3009,6482,266.8605756,-28.3619276,0.045195743441581726,1.7991874301515054e-07
2926.3196,6480.5928,1.766,146.0285779526481,1.6121090086614966,2,1.847,0.986,4.88,2927,6481,266.8618699,-28.3619412,0.06502991169691086,4.508739584707655e-05
2961.1982,6516.1509,3.99,97.14066750123241,1.4560741621283975,3,3.039,1.706,34.95,2960,6515,266.8613489,-28.3614691,0.06663550436496735,2.648932786541991e-05
3046.394,6558.1255,3.382,267.40729188398694,2.317060713307787,2,2.401,0.976,8.04,3027,6577,266.8602912,-28.3606082,0.07577484101057053,7.543213541794103e-06
3021.6824,6578.9644,4.037,197.055516794916,1.8676164029445914,3,4.115,1.86,-35.62,3021,6579,266.8603859,-28.3605805,0.09986183047294617,9.349674655823037e-06
3161.6365,6582.2686,2.409,104.95877097021754,1.5360739305335167,2,1.901,1.104,18.43,3161,6582,266.8581762,-28.3605392,0.06419704109430313,9.605379318600171e-07
