Unnamed: 0,x_img,y_img,r_img,006_idx,022_idx,096_idx,flx_006,err_006
0,3849.0,1861.0,14.0,0,-1,0,2.3542480634757976,0.009676537371083739
1,4870.6369,2945.3725,29.0,1,-1,1,64.87826026232949,0.2801634504865945
2,4621.3584,4055.745,42.0,2,23,2,363.11411445138094,0.7877123599682718
3,4723.3634,4580.039000000002,33.0,3,4,3,123.78849689219082,0.21873927680723607
4,4721.8372,4688.3567,24.0,4,5,49,68.1188920232914,0.1718415138951054
5,4796.3876,4742.7752,15.0,5,38,4,15.51553094409951,0.09167298147036862
6,4787.1305,4806.1925,16.0,6,39,5,31.34333724498157,0.3129250072650662
7,4815.677,4827.0,13.0,7,40,6,15.856714886395107,0.2589945730559116
8,4736.3457,4887.6261,9.0,8,35,30,13.085762507458755,0.20104112199392865
9,4701.2326,4940.9303,14.0,9,14,7,22.71368968518394,0.2710728056123193
10,4840.5349,5015.0463,15.0,10,0,8,30.873168350727624,0.18519303363334924
11,5096.1165,5054.116,25.0,11,-1,10,73.94036603210274,0.4634283910147598
12,4726.0,5317.1628,10.0,12,32,11,4.9750625192954026,0.02158628035890142
13,4786.8138,5726.4883,22.0,13,26,12,78.78214060452527,0.11712008881410949
14,4768.0464,5774.1163,9.0,14,27,13,7.79675618519861,0.07599440583885961
15,4761.7209,5800.2791,13.0,15,28,14,28.242870165566938,0.4050255024762305
16,5235.5582,6003.8837,10.0,16,31,19,6.413757961358655,0.003759407168413749
17,4735.4113,6047.5793,24.0,17,29,15,162.58431728427385,0.8741857336621999
18,5437.2559999999985,6068.0,15.0,18,30,16,16.54647714203886,0.02148069370714165
19,3929.0235,6229.9859,17.0,19,-1,17,23.56345859009248,0.04202246095468667
20,3459.0,6453.0,39.0,20,-1,18,19.10551329235996,0.060396568728857715
21,4869.6568,5612.7516,13.0,21,-1,51,6.126069952482881,0.011629505286353928
22,4888.7541,5745.2754,12.0,22,-1,52,3.0087604979459406,0.013292126520531385
23,4734.1984,5191.294,14.0,23,-1,21,5.449460677584756,0.0031957945599482905
24,4859.7462,5034.3517,13.0,24,33,9,36.57929686010603,0.13476626161330862
25,4862.537,5017.6067,12.0,25,34,20,30.31456496780808,0.17442717193441618
26,4685.1257,5015.4197,8.0,26,-1,22,3.1173890762852707,0.061191600546571315
27,4711.248,4999.0095,8.0,27,-1,23,1.6190105778812378,0.04471375107778102
28,4750.0964,5030.4902,10.0,28,-1,24,1.2753327076021446,0.0012826973892192197
29,4660.7919,4882.0929,10.0,29,20,25,26.879414425255078,0.46090878864109275
30,4667.5353,4876.9328,6.0,30,21,26,7.040714429897169,0.3030763270001235
31,4663.4883,4899.1189,9.0,31,22,27,13.002375163508312,0.3002452524488385
32,4701.1373,4900.4632,19.0,32,13,28,56.31430159504441,0.6224373441701215
33,4706.7513,4882.0389,6.0,33,11,29,8.078850528719144,0.2266038376660127
34,4771.9533,4914.9677,9.0,34,2,31,9.493770422658116,0.07775813036013388
35,4760.4246,4884.5183,17.0,35,1,32,100.67925092197572,0.28786207189132335
36,4760.1345,4900.1351,9.0,36,3,33,22.324750936582003,0.08990587534512771
37,4702.8368,4863.2308,10.0,37,6,35,71.8391241501376,0.4751757829254896
38,4685.7723,4870.9037,11.0,38,7,36,61.34515558647045,0.5623218346283563
39,4692.9739,4847.4551,14.0,39,8,37,131.39796144217658,0.9009548926370851
40,4673.7402,4856.8087,12.0,40,9,38,67.7677688544453,0.9159688465721724
41,4706.5835,4869.5513,8.0,41,12,39,32.49781383004856,0.3542653570446854
42,4715.7433,4838.7478,9.0,42,10,40,12.678996088352427,0.399908914047428
43,4654.5325,4852.2461,11.0,43,24,34,27.544159869623975,0.9593030842583647
44,4699.8965,4819.4363,7.0,44,15,41,6.9205140941245125,0.43015246427988285
45,4695.0225,4808.2663,7.0,45,16,42,6.979237318840434,0.4123873084417161
46,4688.7085,4824.7072,8.0,46,17,43,11.777519793926887,0.5884393048250844
47,4683.9105,4809.1041,6.0,47,18,44,4.227048308472382,0.39421434301253544
48,4669.883,4818.5759,13.0,48,19,45,30.865780060572312,0.9791022762430226
49,4652.383,4779.5429,9.0,49,25,46,10.365576499190404,0.5971771526136629
50,4730.288,4763.0579,11.0,50,36,47,28.346832225353182,0.2794438255210615
51,4706.3163,4771.214,18.0,51,37,48,96.91888487329818,0.4945265743274976
52,4672.2632,4041.3443,12.0,52,41,50,7.019690487777234,0.08097357043415997
53,4764.7541,5192.6829,12.0,53,-1,53,3.104758292590742,0.009546209239690701
